사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-06,2호선,0204,을지로4가,9,1,892,"1,343","1,915","13,801","3,939","33,401","7,873","74,135","8,224","37,009","9,666","22,085","13,662","21,662","15,782","19,425","18,232","19,215","20,801","17,579","23,532","15,696","28,783","14,623","51,371","14,051","64,572","14,097","28,093","8,084","15,698","4,902","13,550","4,440","9,855","4,159","4,643","3,076",711,937,0,18,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0205,동대문역사문화공원(DDP),274,5,"5,189","1,212","4,043","8,297","6,169","22,270","10,307","48,467","10,119","32,237","10,634","27,554","14,342","27,410","17,306","27,069","19,410","27,134","22,766","26,985","29,311","23,582","36,854","20,978","40,361","21,553","42,582","25,134","25,620","23,025","19,537","14,666","20,592","12,278","16,285","10,507","6,955","8,396",911,"3,288",0,37,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0206,신당,20,1,"6,079","1,186","11,146","8,688","27,192","17,576","43,474","32,103","26,060","22,672","18,471","17,883","18,008","18,635","21,289","20,617","21,116","21,271","20,569","20,839","21,553","22,048","26,488","26,377","28,721","34,133","31,746","46,538","21,497","30,391","16,789","18,606","15,676","17,639","12,925","16,590","5,792","11,566",818,"2,897",1,19,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0207,상왕십리,61,0,"5,325",613,"13,272","5,931","39,346","12,059","62,511","33,408","33,420","19,161","20,862","12,997","18,641","12,195","20,212","14,457","19,382","15,705","17,698","16,746","19,011","19,478","20,704","23,874","24,974","31,308","26,561","50,127","18,085","33,325","12,523","21,341","10,752","21,110","7,801","20,249","2,856","13,056",358,"3,055",0,11,0,1,0,0,2022-07-03 09:48:05
2022-06,2호선,0208,왕십리(성동구청),889,4,"7,485","1,122","10,270","6,544","26,173","13,292","44,143","26,873","28,225","17,820","19,014","14,898","19,498","15,562","21,535","17,664","23,334","18,836","22,888","18,991","26,030","20,453","31,400","24,907","34,367","33,507","36,565","53,353","23,417","33,031","22,269","20,364","25,263","18,032","26,933","17,912","14,472","13,557","1,710","3,846",0,71,0,1,0,0,2022-07-03 09:48:05
2022-06,2호선,0209,한양대,10,1,"1,331",366,"2,351","5,990","5,196","12,157","8,069","50,589","6,073","45,679","7,235","34,618","12,584","15,837","16,128","28,361","16,933","23,484","19,358","17,440","23,668","11,380","30,557","9,919","38,505","11,563","31,953","14,047","16,556","7,641","13,013","5,387","13,905","5,138","11,331","4,877","6,041","3,746",924,826,0,10,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0210,뚝섬,15,1,"3,308","2,002","8,295","14,534","18,310","37,689","24,568","131,769","17,577","88,480","14,036","42,015","17,223","31,067","19,254","31,803","22,038","34,307","27,876","28,486","31,236","29,874","42,161","30,679","64,645","35,615","124,311","41,531","59,294","25,318","39,902","13,533","36,655","11,866","26,816","10,543","10,712","7,620","1,178","1,865",3,65,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0211,성수,45,1,"5,694","4,114","9,338","29,686","23,166","74,526","30,866","256,344","22,201","141,300","20,595","56,316","22,035","45,910","26,367","47,620","32,790","51,730","37,179","47,714","46,195","46,878","60,011","48,564","112,004","53,171","222,998","62,484","98,499","38,108","65,735","18,950","64,161","15,216","49,361","14,387","19,602","11,744","2,436","5,093",4,832,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0212,건대입구,477,25,"17,838","2,061","21,689","18,349","51,926","25,351","88,946","60,039","59,414","50,700","36,227","41,057","35,441","45,597","41,397","52,906","45,778","59,070","46,267","58,542","51,098","62,838","60,822","76,169","69,782","102,590","81,855","145,945","61,696","102,537","63,123","61,925","71,136","56,278","74,747","51,360","43,848","31,671","5,869","9,006",8,678,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0213,구의(광진구청),56,2,"13,029","1,221","26,342","13,449","66,165","14,731","109,900","37,343","64,884","23,448","34,764","19,097","29,432","19,391","29,995","22,197","29,159","24,212","27,151","26,193","27,156","33,242","32,276","39,045","34,481","52,846","41,157","88,525","21,505","65,430","17,179","41,146","16,457","40,559","14,830","38,214","7,470","23,568",932,"5,680",1,32,0,0,0,0,2022-07-03 09:48:05
