사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-06,경부선,1749,서동탄,0,0,"1,237",10,"4,596",809,"10,145","1,701","3,790","1,525","2,666",845,"1,806",710,"1,816","1,369","1,520","1,108","1,387","1,112","1,377","1,397","1,718","1,894","1,775","2,125","1,863","2,900","2,560","4,412","1,000","5,707",843,"2,526",607,"1,905",517,"2,501",56,"1,637",4,"1,177",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경부선,1750,광명,0,0,16,"1,273","2,991","2,949","12,053","6,654","10,214","7,100","6,332","6,227","3,861","4,044","6,810","2,598","4,999","7,592","4,377",137,"3,892","7,873","8,648","3,829","3,358","4,826","8,667","6,423","10,043","11,863","8,586","6,939","6,031","3,403","3,789","5,635","2,512","2,836",954,48,0,0,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1801,개봉,"1,427",7,"18,087","5,460","37,606","12,273","89,385","14,827","85,448","22,834","51,220","18,462","36,528","15,656","32,585","18,983","32,218","23,187","29,662","23,647","25,412","26,953","25,027","33,364","28,421","42,965","30,365","56,398","28,933","82,551","17,571","64,392","13,665","39,644","11,658","38,006","8,720","31,963","3,257","17,755",25,"1,292",0,1,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1802,오류동,677,4,"12,357","1,970","19,081","5,336","51,090","6,521","49,303","11,625","28,321","10,238","19,985","9,454","17,912","10,238","19,614","11,904","17,323","13,498","15,032","13,980","14,558","17,474","15,607","21,076","15,422","27,429","14,364","41,399","8,661","36,429","6,957","21,469","6,115","20,355","4,232","17,590","1,545","11,182",17,770,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1803,역곡,"1,081",10,"30,290","3,565","45,603","11,155","116,524","14,337","115,142","33,534","62,096","32,923","41,869","22,943","37,694","25,294","38,052","29,507","39,147","29,457","32,338","32,701","33,067","35,307","35,750","52,640","38,633","68,761","36,057","109,627","22,602","91,824","18,596","51,990","16,377","48,882","14,133","42,005","5,853","28,948",31,684,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1804,부천,"2,937",16,"37,908","5,456","43,735","14,112","104,181","18,046","103,021","45,372","62,008","41,568","45,497","37,950","45,967","40,362","48,166","48,110","47,556","51,356","46,105","50,601","49,844","51,651","56,207","62,488","56,987","84,197","55,749","119,626","36,922","97,944","31,580","55,543","30,296","50,352","26,115","41,740","11,889","30,086",41,"1,342",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1805,송내,"1,798",7,"16,748","8,879","38,552","17,585","107,846","29,955","87,744","78,094","50,262","40,589","37,183","23,447","36,185","23,847","36,459","24,975","32,966","27,261","29,823","27,824","32,595","30,772","37,994","40,446","46,473","57,745","73,895","90,736","29,270","80,479","22,483","45,744","20,035","41,756","15,924","38,978","7,047","24,731",66,990,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1806,부평,"8,145",48,"23,133","5,623","37,745","13,134","82,425","19,450","77,403","33,604","45,558","37,593","37,762","34,757","38,395","41,620","42,838","47,273","42,731","52,716","41,932","52,886","46,755","53,832","53,817","67,630","58,816","83,986","53,787","117,496","40,689","96,362","38,664","54,242","39,929","45,916","33,224","38,103","18,261","25,971","1,237","4,778",0,1,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1807,백운,172,3,"8,003","2,086","14,043","4,385","28,103","4,617","24,732","8,492","14,968","6,034","12,444","5,786","11,222","7,192","11,205","7,753","9,462","8,646","8,413","8,635","8,878","10,851","10,623","13,908","11,039","17,155","8,903","22,839","5,068","22,121","4,221","12,987","3,643","11,978","2,614","10,286","1,310","7,999",29,966,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1808,동암,762,12,"19,173","4,054","31,038","8,545","58,278","14,143","53,649","17,652","32,086","14,174","25,762","13,281","23,093","15,979","23,514","16,594","21,492","18,429","19,560","18,226","19,025","23,474","22,503","30,119","23,981","41,075","22,941","54,436","14,485","48,134","11,632","31,518","10,392","29,456","8,011","24,447","3,673","16,916",149,"2,732",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1809,주안,"1,004",22,"14,645","4,639","27,366","10,104","62,267","18,134","56,145","29,506","35,245","22,499","27,344","16,890","27,979","16,838","30,472","21,631","28,677","19,708","26,543","23,162","28,659","23,698","32,815","32,768","38,822","38,303","35,806","55,649","22,188","56,052","19,512","32,610","17,735","27,440","14,173","25,602","6,371","19,742",394,"3,926",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1810,제물포,928,4,"7,898","1,892","15,558","6,016","38,749","14,049","33,900","31,902","18,929","14,371","15,868","10,470","15,344","9,033","15,888","11,486","15,648","11,839","13,771","11,348","16,298","12,949","21,625","16,185","21,111","21,210","22,915","28,948","10,316","28,122","7,645","16,937","6,658","15,614","4,285","13,920","1,557","10,378",40,"2,697",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1811,동인천,"1,699",8,"6,838","2,872","16,564","12,467","39,288","23,816","30,949","33,605","20,093","17,065","18,781","18,939","19,435","22,961","22,014","20,436","21,822","22,473","21,238","20,199","25,462","19,959","30,050","23,252","36,421","26,825","43,061","31,712","18,429","31,871","13,964","18,654","10,831","15,427","7,264","14,716","2,197","9,075",11,"3,582",0,1,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1812,인천,369,32,"1,270",988,"3,235","3,745","5,839","6,569","4,817","9,119","3,592","6,231","3,632","7,950","4,537","10,186","6,341","10,253","7,868","8,394","10,884","7,774","11,773","6,252","14,684","5,389","15,054","4,874","14,085","4,186","7,059","3,054","6,000","2,278","4,596","1,765","2,161","1,429",564,"1,042",7,859,0,6,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1813,구일,391,10,"4,408","1,368","10,047","3,516","26,927","8,703","23,920","13,475","13,069","10,589","9,924","7,727","10,461","8,462","10,703","12,023","9,742","16,396","9,074","12,495","10,700","14,468","14,144","18,049","16,521","24,885","12,468","32,565","6,096","20,548","7,794","11,163","15,482","10,507","16,860","8,915","6,443","6,166",18,324,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1814,소사,"1,162",19,"16,128","3,146","15,334","6,442","32,553","8,264","29,216","11,478","19,442","10,494","15,453","8,751","14,020","9,837","13,848","11,455","12,857","11,064","11,806","11,493","12,627","12,099","13,788","16,672","14,409","20,801","11,913","27,825","7,258","24,095","5,250","15,064","4,403","14,277","3,053","12,388","1,130","10,630",13,344,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1815,부개,"2,000",9,"9,675","2,131","16,775","4,159","39,854","6,270","33,307","11,168","19,157","6,763","14,603","5,900","13,086","7,690","13,115","9,133","12,336","9,648","10,079","10,306","10,231","12,504","12,188","16,338","11,844","21,088","11,338","29,096","6,575","25,648","4,710","15,247","4,096","14,762","2,911","12,282","1,311","9,370",14,579,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1816,간석,336,3,"5,580","1,241","11,057","2,361","23,725","4,329","20,412","9,645","11,346","5,624","9,394","5,073","8,853","5,694","8,976","6,087","8,357","7,403","7,512","7,136","8,278","8,799","9,783","10,862","8,967","14,046","9,479","18,678","5,007","17,261","4,061","10,541","3,699","8,593","2,643","7,508","1,285","6,362",107,"1,199",0,1,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1817,도원,554,7,"2,322","1,065","3,569","2,145","7,674","6,528","6,791","21,551","4,407","4,102","4,724","4,211","4,862","3,370","5,123","3,579","5,232","3,978","4,262","3,890","7,068","4,500","10,777","5,395","11,879","5,649","8,017","6,507","3,046","5,962","2,321","3,807","2,349","3,351","1,231","2,546",257,"2,221",18,940,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1821,온수(성공회대입구),242,4,"6,037","1,269","9,193","3,893","22,849","11,291","21,918","13,487","14,193","8,118","11,017","5,965","10,472","6,069","11,773","7,839","10,627","7,813","9,535","8,117","10,775","9,318","15,629","11,277","12,865","14,518","10,969","21,308","6,029","18,543","4,699","10,621","4,735","10,385","3,664","9,159","1,349","6,129",25,373,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1822,중동,971,10,"11,029","1,333","18,341","3,728","45,236","5,926","34,823","13,307","19,483","8,554","14,640","7,882","13,567","9,119","14,015","9,729","13,120","10,179","10,997","10,867","10,786","12,116","11,699","17,032","12,303","22,170","12,964","31,175","6,794","28,220","5,513","17,373","5,094","14,920","3,380","13,095","1,356","10,236",11,541,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경인선,1823,도화,387,0,"4,461",748,"6,701","1,828","17,855","4,190","14,702","7,176","8,826","3,995","7,171","3,854","6,717","4,025","6,895","5,262","6,381","5,113","5,526","5,756","5,522","6,579","6,681","8,489","6,877","9,982","6,840","11,347","3,460","11,290","2,895","6,818","2,110","5,694","1,597","4,391",564,"4,584",23,"1,323",2,2,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1008,이촌(국립중앙박물관),58,0,922,637,"3,651","2,534","8,746","4,312","9,390","8,053","7,643","5,232","6,231","3,856","6,028","3,750","6,018","3,835","6,338","4,475","6,075","4,177","6,963","4,968","8,336","5,707","9,908","6,325","9,411","7,845","5,429","5,786","4,578","4,106","4,262","3,917","3,309","4,084","1,075","2,572",4,176,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1009,서빙고,42,0,974,683,"2,223","3,112","3,255","4,441","3,335","8,808","3,262","4,255","2,867","2,881","2,655","2,369","3,049","2,233","3,536","3,128","3,100","2,870","4,055","3,686","5,330","3,275","7,295","3,146","7,046","3,956","3,351","3,287","2,344","1,627","2,344","1,907","1,787","1,542",369,"1,078",7,53,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1010,한남,132,0,"1,875",691,"2,763","4,631","4,532","10,323","5,473","13,816","4,815","11,439","4,439","6,089","5,193","4,923","5,697","5,008","5,314","5,269","5,883","4,817","7,362","5,056","8,800","5,864","13,616","7,212","14,145","7,456","6,710","5,949","5,276","3,027","5,189","3,648","5,193","2,626","2,014","1,588",8,109,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1011,옥수,0,0,1,35,3,128,47,37,105,234,54,18,33,146,18,168,12,66,12,18,22,6,19,22,328,62,360,82,38,27,391,28,54,9,38,17,7,3,8,2,2,0,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1012,응봉,150,1,"1,208",283,"2,962","1,288","7,296","2,023","7,548","2,359","5,050","1,655","3,606","1,474","3,096","1,528","2,880","1,741","2,683","2,065","2,391","2,601","2,817","2,656","3,163","3,700","2,943","4,187","2,995","5,314","1,799","4,880","1,337","2,961","1,014","2,290",737,"2,577",268,"1,660",1,74,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1013,왕십리(성동구청),981,10,"6,012","1,210","9,123","6,576","25,802","13,194","39,641","22,133","26,147","17,788","16,731","19,296","16,838","19,969","19,590","22,885","22,414","24,581","21,421","24,149","24,568","27,382","28,167","31,484","31,104","41,857","29,432","63,277","23,445","44,966","22,973","27,123","25,820","21,945","25,449","21,560","12,384","13,369",911,"4,832",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1014,청량리(서울시립대입구),"1,158",6,"5,898","1,743","7,990","12,534","27,669","17,030","43,050","26,678","23,976","31,842","32,929","33,404","24,483","34,393","29,251","31,050","36,779","32,542","29,137","34,310","36,232","35,573","36,560","34,420","33,129","33,843","38,723","48,622","23,465","33,805","27,507","18,947","19,775","20,492","10,918","12,073","4,911","7,802",62,"1,148",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1016,외대앞,608,17,"4,830","1,910","7,911","4,593","18,641","3,952","22,996","14,304","13,888","9,546","11,699","11,351","11,834","9,846","13,051","11,492","13,237","10,410","13,024","11,812","14,202","12,074","15,571","14,349","17,519","17,118","13,681","23,316","9,418","18,010","7,777","12,095","7,171","11,956","6,139","12,362","3,046","9,634",121,"2,144",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1017,신이문,"1,339",7,"9,216","1,155","14,887","2,921","35,743","4,477","38,453","8,070","21,122","5,340","15,067","5,829","12,889","6,927","12,915","8,275","11,998","9,487","10,022","9,725","9,579","13,897","9,587","16,284","9,671","20,443","8,983","30,328","5,788","23,580","3,876","15,572","3,076","13,016","2,084","12,658",883,"8,181",54,"1,658",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1018,석계,"1,279",20,"6,694","1,670","11,860","4,117","24,995","6,099","27,909","8,712","19,286","7,129","15,625","7,035","14,224","8,965","13,763","9,418","12,540","10,990","11,253","12,221","11,369","15,893","11,836","20,779","12,043","25,054","10,953","37,297","8,052","26,416","6,364","17,481","6,216","15,488","5,075","13,016","2,439","9,400",133,"2,307",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1019,광운대,"1,978",12,"6,277","1,126","12,889","2,599","30,139","6,150","26,680","13,325","15,621","10,100","11,519","9,011","11,420","10,569","12,083","9,707","11,735","10,513","11,387","11,129","11,614","11,334","13,048","13,813","12,562","16,274","11,080","24,484","6,333","19,981","5,704","12,732","5,042","11,631","4,600","9,564","2,040","10,278",128,"4,534",0,6,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1020,월계,962,13,"5,484","1,090","10,398","2,365","25,756","8,817","23,679","12,774","14,811","11,645","11,875","7,927","11,525","6,967","12,423","8,522","11,051","10,411","10,044","8,469","12,097","9,668","15,916","12,836","12,688","14,530","10,456","22,095","6,073","18,382","4,625","9,966","3,969","9,846","2,721","8,064","1,116","5,912",94,"1,305",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1021,녹천,"1,175",42,"4,199",739,"7,884","1,435","22,228","4,817","18,687","5,453","11,113","2,745","8,091","3,462","7,359","3,270","7,844","4,298","6,452","4,698","5,148","4,652","5,379","5,639","7,564","7,388","6,067","9,073","4,952","14,034","3,244","12,359","1,935","7,571","1,911","6,930","1,350","6,048",494,"4,327",30,"1,160",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1022,창동,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1901,방학,787,6,"11,830","1,574","16,313","5,265","33,144","9,496","30,850","21,636","20,555","11,540","17,133","10,999","15,898","10,303","16,382","13,048","14,722","12,198","13,384","14,243","13,569","16,609","15,089","20,095","15,830","22,906","18,004","29,011","10,138","27,433","7,097","14,918","5,926","13,339","4,324","11,701","1,753","7,076",165,"2,683",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1902,도봉,340,18,"7,683","1,294","10,510","3,721","19,789","3,968","18,589","9,820","13,037","8,077","10,886","7,618","10,179","6,581","9,425","7,984","9,482","8,110","9,059","8,916","9,381","10,213","9,287","11,466","9,641","13,582","10,314","15,920","4,715","15,025","3,355","9,252","2,728","7,564","2,016","7,446",848,"4,313",91,"1,530",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1903,도봉산,269,1,"6,540","1,306","9,478","3,353","21,153","5,145","21,555","8,122","14,542","13,329","12,470","16,081","12,275","14,026","13,986","14,910","16,790","11,036","19,184","9,579","20,302","9,641","19,863","9,920","18,330","9,399","15,171","10,716","9,185","8,643","5,924","5,630","3,874","4,916","2,550","4,567",929,"3,215",96,"1,286",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1904,망월사,476,7,"8,094","1,176","13,344","3,856","27,481","5,228","27,110","17,113","16,726","12,821","14,165","9,797","14,650","12,175","14,284","12,811","14,219","11,534","13,098","13,388","14,220","12,568","14,836","15,376","15,762","19,061","11,178","25,131","6,327","23,249","5,087","14,877","4,396","12,047","3,784","10,783","1,421","7,053",227,"2,896",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1905,회룡,"1,155",25,"15,588","2,061","27,913","5,783","55,741","8,756","47,654","12,256","29,951","11,269","25,447","11,438","23,206","12,753","21,273","15,403","18,905","15,847","16,150","17,542","15,437","21,264","15,004","27,199","14,748","34,462","12,229","43,605","7,778","41,701","6,250","24,763","5,572","20,947","3,782","17,409","1,539","11,047",231,"5,019",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1906,의정부,"2,441",24,"10,914","2,506","24,062","7,707","47,997","14,198","44,547","36,609","27,284","36,995","23,808","28,064","25,885","30,581","28,360","33,525","28,874","35,495","30,534","32,442","33,554","31,132","36,045","36,651","41,485","41,939","44,088","56,430","27,708","49,907","26,453","30,421","19,808","23,874","16,045","20,331","7,250","13,572",735,"8,542",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1907,가능,646,4,"8,118","1,828","11,835","3,957","24,950","7,382","21,811","15,080","12,869","8,185","12,081","6,102","11,092","7,365","10,953","7,345","9,907","8,327","8,805","7,177","8,948","9,600","10,453","11,989","13,552","14,957","9,450","19,696","5,919","18,906","4,771","12,116","4,216","8,744","2,991","8,627","1,210","5,258",142,"3,078",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1908,녹양,319,4,"5,106",952,"8,801","2,619","17,973","5,564","14,713","8,751","8,988","4,617","8,202","3,646","7,734","5,405","7,608","4,770","6,767","5,412","5,843","4,840","6,191","6,587","7,030","8,102","7,645","10,746","8,334","13,295","3,954","12,827","3,132","8,122","2,551","6,633","1,566","6,582",665,"3,647",60,"2,155",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1909,양주,"1,740",9,"5,190","2,154","11,888","6,778","29,757","11,419","25,364","12,304","18,390","7,987","15,344","6,832","13,931","8,152","12,915","9,043","11,818","9,119","10,578","9,233","10,586","11,217","13,443","13,847","14,295","19,036","14,302","22,258","7,505","19,682","4,678","14,254","3,826","11,137","2,273","10,897",761,"6,189",32,"3,381",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1910,덕계,21,0,"2,701","1,076","9,049","5,711","13,432","4,016","12,445","5,547","6,985","3,020","5,592","2,272","5,112","2,615","4,441","3,048","4,231","3,321","4,225","3,079","4,674","4,031","6,471","4,786","6,322","8,091","5,171","8,931","2,077","9,701","1,655","5,208","1,074","4,835",838,"3,824",406,"3,001",16,996,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1911,덕정,6,0,"3,788","1,778","8,254","6,877","18,380","9,821","18,453","16,055","11,067","9,487","9,043","5,770","9,271","6,367","9,671","7,665","9,967","7,265","9,337","5,756","9,871","7,695","11,338","8,808","13,632","13,340","12,918","14,284","5,467","14,573","4,302","8,562","3,431","8,518","2,439","6,333","1,390","4,905",174,"1,499",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1912,지행,105,5,"5,643","1,080","10,865","2,723","22,504","5,968","23,309","12,467","14,944","7,619","12,339","5,728","11,472","7,404","10,570","8,511","10,479","10,353","9,628","9,119","9,586","11,388","10,365","13,344","10,976","19,330","11,711","19,496","6,768","20,514","6,312","12,382","5,073","10,437","4,098","9,840","2,018","7,682",210,"2,659",0,1,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1913,동두천중앙,80,2,"2,739",727,"5,537","2,153","8,705","4,606","9,081","9,942","6,668","4,803","6,177","3,874","5,575","5,215","6,048","4,594","5,850","5,137","5,363","4,392","5,603","5,159","5,240","5,505","6,345","6,766","6,732","6,384","3,040","6,624","2,326","4,443","1,474","3,624",912,"3,453",440,"2,698",25,792,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1914,보산,48,0,"1,656",507,"2,375","1,301","4,377","3,088","4,185","3,111","3,568","1,924","2,923","1,470","3,072","1,717","2,991","1,733","2,861","2,182","2,964","2,358","3,181","2,630","3,637","2,892","4,521","3,673","3,596","3,669","2,286","4,783","1,635","3,327","1,131","2,553",609,"2,150",230,"1,878",7,561,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1915,동두천,39,1,"1,127",831,"3,283","3,925","6,014","7,997","6,121","7,222","4,664","5,981","4,518","4,201","4,411","4,195","3,726","3,186","4,365","4,497","4,368","3,746","5,747","3,965","4,963","3,866","5,665","4,128","5,480","5,267","2,613","4,302","1,577","3,867",804,"3,110",574,"2,160",362,"1,904",4,604,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,경원선,1916,소요산,92,1,757,734,"1,263","1,495","3,275","2,926","4,590","4,119","5,278","4,160","3,855","10,085","4,609","10,358","6,293","12,752","8,153","8,059","11,820","5,564","12,799","4,670","12,453","4,133","9,239","3,634","5,725","2,673","2,606","2,006","1,440","1,859",923,"1,031",311,888,166,972,2,685,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1751,산본,485,4,"8,883","1,741","22,634","6,364","54,237","14,731","51,942","29,484","26,539","21,390","23,056","19,786","21,864","19,666","23,477","22,682","22,749","24,208","21,938","24,212","23,330","25,477","25,816","31,026","27,298","39,590","29,893","61,170","19,234","53,869","16,253","30,425","16,975","24,236","13,429","20,982","4,946","14,753",165,"2,604",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1752,대야미,19,0,"2,833","1,133","7,913","3,567","18,333","5,619","20,677","8,571","10,584","4,756","7,813","4,699","7,052","4,941","7,256","5,071","7,080","5,113","6,954","5,594","7,289","7,426","8,287","8,829","8,513","10,016","10,574","15,566","5,783","12,454","4,400","8,436","3,084","7,218","1,867","7,002",741,"4,539",39,634,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1753,반월,28,0,"3,591","1,067","7,501","2,834","17,184","4,157","16,419","7,947","9,789","3,683","7,762","3,512","6,573","4,179","6,588","4,475","6,411","4,972","5,448","5,583","5,163","6,870","6,640","8,797","8,134","9,851","7,687","14,821","4,193","11,609","3,209","8,568","2,090","7,240","1,524","6,691",586,"4,182",98,553,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1754,상록수,448,13,"14,152","2,646","32,381","8,009","68,168","12,834","62,626","20,461","35,293","16,042","25,977","13,223","23,790","13,350","24,427","14,417","21,056","17,093","17,931","18,147","19,190","20,399","22,161","27,521","24,394","39,605","21,839","61,271","13,311","55,230","11,408","35,886","9,382","31,788","6,763","27,195","2,624","18,582",185,"3,490",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1755,한대앞,84,0,"7,819",970,"17,043","4,343","31,418","8,748","26,476","20,861","17,357","15,040","14,408","13,619","14,326","10,022","14,773","13,031","13,754","12,008","13,639","11,905","14,014","12,794","16,909","17,226","19,107","22,511","18,437","32,271","10,206","25,275","9,030","17,157","8,364","14,129","7,009","13,147","2,805","9,630",91,"2,044",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1756,중앙,250,10,"10,246","1,379","29,720","10,245","57,554","16,219","47,145","35,473","26,971","31,031","22,782","20,340","23,786","20,753","26,423","24,204","25,102","27,255","24,284","26,341","26,535","27,613","32,196","32,581","36,039","45,000","36,612","65,317","25,001","55,411","23,771","34,088","24,542","28,352","21,451","23,062","8,680","18,861",369,"4,752",0,1,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1757,고잔,251,12,"5,237",933,"15,457","5,003","31,422","12,985","22,228","27,362","14,873","13,817","12,742","10,516","12,716","9,492","12,224","9,996","11,608","11,474","11,849","10,905","13,756","10,739","14,850","11,534","20,418","17,042","22,496","24,985","8,589","20,282","7,289","12,676","7,247","11,351","4,919","10,126","2,105","8,409",111,"2,690",0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1758,초지,222,3,"3,465",520,"10,342","4,124","21,991","9,203","16,326","10,554","9,313","6,236","6,934","4,607","6,530","4,277","6,856","4,889","5,845","5,782","5,597","5,256","5,684","6,045","6,901","6,788","9,336","10,404","10,658","16,208","5,023","14,766","3,882","10,101","3,035","8,233","1,840","7,587",640,"5,587",33,"2,028",0,1,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1759,안산,"1,244",10,"10,307","1,907","12,220","16,235","21,409","41,401","22,354","32,880","18,849","15,030","15,022","12,679","14,705","13,599","15,606","13,611","16,033","13,027","16,508","14,239","18,046","15,190","22,295","16,232","40,562","23,382","45,407","25,538","21,842","20,079","18,492","15,691","11,315","13,343","4,819","10,378","1,398","6,425",59,"2,456",0,2,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1760,신길온천,32,1,"2,129",107,"3,596","1,918","7,143","3,714","6,438","2,934","3,682","1,458","3,092","1,470","2,630","1,691","2,530","1,844","2,345","1,670","2,070","2,067","2,285","2,538","2,715","2,867","3,976","4,276","3,903","5,815","2,200","4,418","1,615","3,110",994,"2,735",483,"2,379",189,"1,936",6,402,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1761,정왕,270,1,"7,124",261,"10,483","13,097","19,128","25,178","16,410","30,787","11,594","21,132","11,070","13,740","11,518","12,036","13,114","12,268","13,250","11,821","12,877","11,735","16,519","11,601","21,681","11,727","26,146","16,762","31,704","20,722","14,407","16,301","11,584","12,421","8,146","10,887","4,837","9,189","1,495","6,684",22,"1,559",1,2,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1762,오이도,228,1,"6,483",328,"15,490","7,801","31,597","13,297","24,968","15,326","15,519","8,777","12,070","8,890","12,153","11,493","12,730","12,292","11,989","11,980","11,506","11,975","12,637","13,490","15,462","15,513","19,663","19,373","19,220","26,035","10,390","22,164","8,942","14,820","8,585","13,336","4,881","11,224","1,553","9,070",3,"3,229",0,9,0,0,0,0,2022-07-03 09:48:05
2022-06,안산선,1763,수리산,31,2,"3,287",518,"8,952","1,886","18,584","4,781","18,036","7,198","9,562","4,081","7,051","4,572","6,690","3,511","6,148","3,558","5,527","3,703","4,960","3,983","5,576","4,733","5,528","6,008","5,396","7,595","5,592","11,717","2,927","9,947","2,081","6,718","1,416","5,666",926,"5,395",358,"3,732",15,544,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,과천선,1450,선바위,1,0,"1,208","1,110","6,554","9,706","18,268","18,804","20,761","23,772","14,767","15,851","11,370","8,593","9,964","8,132","10,440","8,384","10,793","8,227","10,627","7,753","11,431","8,793","15,585","10,243","22,414","12,666","29,479","17,085","13,299","13,788","8,936","8,794","7,490","8,214","3,951","7,878","1,065","4,133",6,240,0,0,0,0,0,0,2022-07-03 09:48:05
2022-06,과천선,1451,경마공원,2,0,386,521,765,"2,400","1,889","4,120","2,879","11,998","2,393","32,675","2,439","44,184","2,718","21,780","3,788","17,890","4,494","15,272","7,638","9,133","11,255","5,646","18,681","3,450","32,005","2,144","68,660","2,450","10,801","2,081","3,041","1,241","1,014","1,119",365,885,116,516,3,33,1,2,0,0,0,0,2022-07-03 09:48:05
